time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.595047584941749e-06,8.350034591446259e-06,10.002870251160958,0.002452633174470087,0.0010122840164159541,0.0,-0.0002682344266737247,0.0005107381940426359,0.09567086752916054,0.0159975895511935,-0.01228661401816622,0.0,436.64115329955683,435.6151926555317,434.2493032859317,435.5888652869801
0.12000000000000001,-4.3102928292588565e-05,9.076226147404437e-05,10.009401405778526,0.0045276563694542915,0.0023398935712002356,0.0,-0.0011230168545985674,0.0024158768679683838,0.12203084381460547,0.026427666922294618,0.0023000027462433134,0.0,412.8142173956865,414.0991992697013,411.8626356593918,412.78391914002003
0.18,-0.00017380332949122038,0.00035816329575710885,10.023832461396772,0.0069145341163627805,0.0036842516071571296,0.0,-0.003384631570849526,0.006778560557160336,0.3589575041895182,0.03510612072722658,0.013191475730906647,0.0,477.7783817668309,478.60780951780225,478.3068030555878,478.9673586327145
0.23999999999999996,-0.0004760362908720315,0.0009230735193430548,10.047413559172663,0.013276978708162801,0.010515903951143102,0.0,-0.007381671962482777,0.012649769948313306,0.427045997549487,0.056537059964383726,-0.014957695175993744,0.0,428.0667874612969,425.6650272348478,425.850806709864,427.68084692969154
0.3,-0.0011198282415089053,0.001950931123929048,10.074663468973156,0.01678226856671028,0.010074223605822219,0.0,-0.014029788613823068,0.021950473113956457,0.48125814053491434,0.05146263122961058,-0.008665465465075085,0.0,422.51831652666726,423.0604645689695,422.1470331095473,421.7112016365379
0.36000000000000004,-0.002173925883019098,0.0036320426690433687,10.106671350005644,0.02055103235231126,0.010998930662100115,0.0,-0.02118891945427454,0.034483159910140906,0.5856147462063295,0.041143077367263345,0.0033556220577814454,0.0,437.83784379316404,438.836741064586,439.2657409947827,438.41072215640725
0.4200000000000001,-0.00368144895989613,0.0061564634013299945,10.14554484175882,0.024296898554515778,0.011193487452077377,0.0,-0.029082108209914817,0.05007272276043261,0.7100891696901505,0.027504472639395868,0.0029470096884736353,0.0,445.2911028140573,445.2576163821353,445.36394293943465,444.2478196270055
0.48000000000000015,-0.005662883069229338,0.00962604399744815,10.188578538380666,0.03240124604428107,0.020772919814500135,0.0,-0.03785251293806807,0.06627933726121492,0.7243259719010076,0.054159801465279975,-0.03186478949446569,0.0,411.0917153525171,407.9958261659198,408.091639667504,410.4644943984694
0.5400000000000001,-0.00842401258962226,0.014377705419050028,10.23783575263255,0.035720217093053286,0.021589714630369627,0.0,-0.05425745237406553,0.09249380315316016,0.9174300569725855,0.0498343340687711,-0.014929792585458426,0.0,465.5747131093384,466.8975232909843,466.4342399117448,466.09803620149313
0.6000000000000002,-0.012131241430883982,0.020689859905217146,10.29623959738826,0.03872592229919025,0.02107049418242024,0.0,-0.0692552364861975,0.11821863692789361,1.029258786701499,0.050455615957055194,-0.009301335100190506,0.0,441.2113936911025,441.67589542689285,441.9468762305779,441.99966642987073
0.6600000000000003,-0.016814896004094793,0.02870764919310629,10.36386153296645,0.04185884896800296,0.02793924219056798,0.0,-0.08769673304641247,0.14939282087529915,1.2245802615835761,0.05301184897109696,-0.04037880697003726,0.0,468.41602681757746,465.99326558289613,467.68171048568075,467.8822874606926
0.7200000000000003,-0.0226736987712759,0.0385663201218418,10.440755853723045,0.04506281168508508,0.029437180379888517,0.0,-0.10777339112426372,0.17955969298136587,1.3384145739517264,0.04975463114830251,-0.06330280945426843,0.0,443.4057327036468,441.5171925308346,443.8269021437835,443.5612646704978
0.7800000000000004,-0.02981448910274551,0.050418079558102104,10.52682798577629,0.04996975458429187,0.025639208219217835,0.0,-0.129809928226269,0.21607377557501445,1.530400026850467,0.033321520809991824,-0.06571334736418923,0.0,467.61711687448894,467.42653445931046,467.7053241604456,466.42485250567563
0.8400000000000004,-0.03814585145580402,0.06449492912786228,10.622436687227692,0.059728570354853794,0.023325456694718305,0.0,-0.14766935395774783,0.25421112433710935,1.6563254735054644,0.0015832087840613324,-0.08094684306359316,0.0,447.32072887218874,446.07476094435947,450.11977072708845,447.5442505560587
0.9000000000000005,-0.04755626756194671,0.0811966274249654,10.728389828502154,0.060022539470951486,0.019440800955718096,0.0,-0.16555369627847608,0.30252073761573317,1.8751154609785823,0.005414871704124484,-0.09301474510464136,0.0,475.9629357622964,475.03309468352614,476.805384087997,477.0979428399961
0.9600000000000005,-0.05791077999100781,0.10064003582738291,10.84466696754985,0.061334659645777556,0.01979262331209508,0.0,-0.1796604187073017,0.3457286357129379,2.000561026686717,-0.006735284660519265,-0.12092431435355555,0.0,450.10603148599085,447.83272033628344,449.1424467411351,448.1559883642503
1.0200000000000005,-0.06908855377672833,0.122637810547177,10.967463300147474,0.06171736986515253,0.01815769072105411,0.0,-0.19273994146896833,0.3875666856172471,2.092481203333902,-0.01772606061850977,-0.09612688018745932,0.0,437.92523222631263,439.97147457688163,439.0222835602429,438.10956273076596
1.0800000000000005,-0.08099543628753736,0.14712772085196066,11.09501236132669,0.06873977467653702,0.013906907401042723,0.0,-0.20372989464177876,0.42940574072567034,2.1589881419983095,0.012246958865704129,-0.08378269086450688,0.0,430.2231836472858,431.25961996270905,429.9975587758661,432.52916921448445
1.1400000000000006,-0.09352403927599881,0.17445138727608123,11.22947357513837,0.0708513283628891,0.011487997541160588,0.0,-0.2135983293872166,0.4815787058622637,2.322712994559416,0.023956158050155052,-0.06725163953817298,0.0,461.37761629718636,462.6762323351923,461.0034425421773,461.92759897338647
